sample	condition	fq1	fq2
PI127826	PI127826	data/PI127826.R1.sub.fastq	data/PI127826.R2.sub.fastq
Cultivar	Cultivar	data/Cultivar.R1.sub.fastq	data/Cultivar.R2.sub.fastq
F1-hab	F1-hab	data/F1-hab.R1.sub.fastq	data/F1-hab.R2.sub.fastq
F1	F1	data/F1.R1.sub.fastq	data/F1.R2.sub.fastq
F2-28	F2-28	data/F2-28.R1.sub.fastq	data/F2-28.R2.sub.fastq
F2-73	F2-73	data/F2-73.R1.sub.fastq	data/F2-73.R2.sub.fastq
F2-127	F2-127	data/F2-127.R1.sub.fastq	data/F2-127.R2.sub.fastq
F2-151	F2-151	data/F2-151.R1.sub.fastq	data/F2-151.R2.sub.fastq
F2-411	F2-411	data/F2-411.R1.sub.fastq	data/F2-411.R2.sub.fastq
F2-445	F2-445	data/F2-445.R1.sub.fastq	data/F2-445.R2.sub.fastq
